,authors,age
2468,3300,6
175,209,21
820,1297,12
3975,4160,16
4351,2254,20
6035,1905,6
6625,2051,9
5973,837,25
7161,2952,7
6840,3972,4
3976,3959,13
5666,2471,10
7370,3860,16
3861,2465,8
6230,3320,10
3671,2614,9
7810,1652,6
354,1511,9
5070,3005,44
5633,3678,5
1302,3855,64
539,1238,11
4159,2967,16
5604,4228,22
2647,1952,5
7754,2364,3
3676,1612,5
5468,4019,10
3972,2374,7
1928,1906,17
5489,4104,6
7780,789,3
7587,3127,6
1323,4060,5
7334,3883,11
6525,752,7
2883,1213,14
812,1307,4
230,3741,15
7820,519,10
4815,1056,10
5709,2802,8
1502,3364,22
123,119,8
5659,1300,5
7982,2044,7
2931,1235,8
13,1345,6
685,836,17
5146,1085,26
5974,693,4
3746,3116,11
3430,2123,14
2977,1487,14
1699,147,6
970,1449,22
2367,3044,5
7600,1894,11
7645,2827,9
3455,2051,9
5660,3944,14
1371,982,24
7261,4183,14
5918,1195,9
4622,1991,7
258,976,14
3854,1189,9
2702,3113,4
146,1515,8
768,3032,19
5029,796,12
3421,2165,7
1920,2362,16
1328,1926,16
6099,1970,11
1810,4113,97
173,1641,21
7281,944,13
1100,1271,31
6524,4300,11
6245,2344,7
1210,3409,6
7304,1405,11
4959,2832,15
5813,1329,19
5433,2098,13
7683,613,3
7914,1530,10
7591,1175,11
4809,4215,55
2901,992,18
2335,387,4
5431,74,27
7506,3055,7
5490,393,11
3076,701,3
3983,2486,5
7089,4275,16
7760,461,23
2722,3802,4
3515,29,7
7602,2246,7
7475,2263,8
6209,601,3
7427,536,5
7102,111,9
5746,2917,9
3240,1822,5
2782,62,10
3138,3876,8
5293,3966,6
6657,582,5
7292,2459,5
2079,289,13
7138,814,4
6814,2599,8
2910,132,6
5687,2375,9
3700,236,11
5206,3458,16
3962,4288,10
6848,2855,12
6183,229,12
379,1838,11
1550,10,12
3929,1852,8
4527,1989,7
740,2175,4
2827,3078,29
4353,2038,6
5684,332,80
2122,3021,5
631,2739,7
525,2214,51
1465,3245,89
6001,285,13
4679,4351,7
1712,1006,9
3925,3609,6
1056,1393,16
7022,2724,7
4659,2422,9
2923,506,20
7341,3864,26
521,2719,3
1775,572,7
