,average_rating
3849,3.34
4585,4.13
7526,3.79
5965,3.54
5415,2.76
3036,3.75
1479,4.25
1538,4.27
898,4.21
6236,3.98
6852,4.02
6966,3.93
5335,4.24
595,3.94
7269,3.91
6452,4.12
7552,4.06
6977,3.62
2997,4.04
6835,4.1
650,3.87
5201,4.31
2231,3.81
7534,3.77
6141,4.11
5455,3.39
1823,3.81
4632,3.51
4084,4.22
1350,4.06
3073,3.74
3613,4.21
2080,3.85
2742,3.6
3668,4.07
7319,3.91
6887,4.06
3540,4.21
6254,3.58
6556,3.54
4184,3.38
7724,3.4
6319,4.45
290,3.77
4302,3.71
4071,3.76
6608,3.23
6436,3.69
6106,4.14
100,4.14
5202,4.01
6638,3.79
5853,4.18
3685,3.64
4343,3.9
2713,2.92
5190,4.17
518,4.14
4271,4.07
5923,3.82
1992,3.99
5912,4.5
3597,4.68
6904,3.92
358,4.05
3847,4.19
4631,3.8
645,4.2
2384,4.06
919,3.77
1379,3.46
3788,3.47
754,3.43
661,3.3
5476,3.67
709,3.76
4812,3.8
5009,5.0
2930,3.0
4344,4.07
7769,4.09
3245,3.87
6204,4.44
2750,4.0
696,4.1
5192,3.53
6703,3.66
847,3.56
2432,4.51
1001,4.13
814,3.93
4287,3.53
5713,4.27
6971,3.7
2699,4.08
6028,3.89
1017,3.33
959,4.13
6394,4.2
5629,4.0
1229,3.52
7736,4.34
5824,4.2
7877,3.77
1355,3.67
2771,4.54
2014,4.41
846,3.29
7279,4.19
218,4.09
2638,4.03
2698,4.11
7521,4.08
316,4.12
5085,2.73
2840,3.83
399,3.87
7992,3.89
1061,4.29
6131,4.23
1879,4.08
5320,3.92
541,4.17
1619,2.83
7797,4.05
673,3.46
1734,3.93
5494,4.03
5992,4.18
489,4.04
3122,3.77
4906,3.92
2316,2.71
3622,3.81
1175,3.63
23,3.9
7800,3.93
4700,3.33
2476,3.85
6549,3.97
6302,2.44
4627,3.69
6053,3.87
5008,3.71
765,3.78
3762,3.87
6066,3.75
5571,3.67
7577,3.8
3665,4.28
1586,3.52
2038,4.45
7157,3.62
4067,3.98
7678,4.92
7362,4.29
7811,3.88
7390,3.55
2020,3.8
5536,4.04
2063,3.91
2095,3.55
419,4.26
1719,4.08
1339,3.57
5250,4.32
285,3.4
441,3.56
5781,3.9
6004,4.1
4075,3.11
1679,3.8
7027,2.68
6663,4.03
1190,4.25
7670,4.07
6086,3.82
3836,3.59
2409,4.14
2164,4.27
2186,3.24
6516,4.18
2593,3.69
6603,4.14
2792,3.78
5860,4.14
1915,3.73
6213,4.18
1798,3.49
3517,4.24
6460,3.69
1593,3.6
4056,4.23
5038,3.86
1049,4.28
4680,3.67
1206,4.39
1831,4.18
5397,3.85
5593,4.68
6831,3.78
4600,3.79
5547,3.8
3729,3.71
699,3.69
429,4.17
439,3.88
802,3.7
1097,4.04
7909,3.97
2192,3.28
6308,3.63
466,4.24
6248,4.1
3111,4.23
7192,3.74
5065,3.52
2574,3.33
693,4.03
6678,3.14
3196,4.34
1151,3.21
4584,3.62
2905,3.69
6033,3.95
6634,4.03
6669,3.02
4847,3.92
2373,4.08
805,3.59
487,3.82
7492,3.79
5990,3.81
3094,3.96
5752,4.47
975,3.75
4294,3.86
3947,3.24
4334,4.12
7227,3.99
5702,3.83
1758,3.8
7608,3.81
4563,3.87
4981,3.95
1985,3.57
2320,4.45
6234,4.0
2688,3.73
1352,4.25
2528,3.8
2612,3.36
1172,3.28
7024,3.64
4270,4.53
1788,3.85
5654,4.27
736,3.82
2946,3.56
5484,3.06
4562,3.58
1025,3.68
1078,4.2
524,3.67
787,3.9
2543,4.38
1612,4.35
2423,4.0
6724,4.08
4996,4.13
304,3.99
3838,4.14
